IMAGE,Species,Sex,River dolphin
Delphinapterus_leucas_1933.10.13.2_skull_ventral.tiff,Delphinapterus_leucas,Female,other
Delphinapterus_leucas_1933.10.13.4_skull_ventral.tiff,Delphinapterus_leucas,Male,other
Delphinus_delphis_1888.5.20.2_skull_ventral.tiff,Delphinus_delphis,NA,other
Delphinus_delphis_1946.12.24.3_skull_ventral.tiff,Delphinus_delphis,Male,other
Delphinus_delphis_1973.106_skull_ventral.tiff,Delphinus_delphis,NA,other
Grampus_griseus_SW1927.25_skull_ventral.tiff,Grampus_griseus ,NA,other
Grampus_griseus_SW1929-7_skull_ventral.tiff,Grampus_griseus ,NA,other
Grampus_griseus_SW1933-14_skull_ventral.tiff,Grampus_griseus ,NA,other
Grampus_griseus_SW1938-7_skull_ventral.tiff,Grampus_griseus ,Male,other
Inia_geoffrensis_1169.b_skull_ventral.tiff,Inia_geoffrensis ,NA,river
Inia_geoffrensis_1856.8.2.1_skull_ventral.tiff,Inia_geoffrensis ,NA,river
Inia_geoffrensis_1937.5.26.1_skull_ventral.tiff,Inia_geoffrensis ,Male,river
Inia_geoffrensis_1939.5.13.1_skull_ventral.tiff,Inia_geoffrensis ,NA,river
Lagenorhynchus_acutus_1926-17_skull_ventral.tiff,Lagenorhynchus_acutus,NA,other
Lagenorhynchus_acutus_SW.1929-25_skull_ventral.tiff,Lagenorhynchus_acutus,Male,other
Lagenorhynchus_obscurus_1944.11.16.1_skull_ventral.tiff,Lagenorhynchus_obscurus,Female,other
Lagenorhynchus_obscurus_1944.11.16.2_skull_ventral.tiff,Lagenorhynchus_obscurus,Female,other
Lagenorhynchus_acutus_1920.6.28.1_skull_ventral.tiff,Lagenorhynchus_acutus,Male,other
Lagenorhynchus_australis_1944.11.30.1_skull_ventral.tiff,Lagenorhynchus_australis,NA,other
Lagenorhynchus_australis_1961.6.12.1_skull_ventral.tiff,Lagenorhynchus_australis,NA,other
Lipotes_vexillifer_1922.6.22.1_skull_ventral.tiff,Lipotes_vexillifer,Female,river
Mesoplodon_bidens_SW.1964.6.3.7_skull_ventral.tiff,Mesoplodon_bidens,Male,other
Mesoplodon_hectori_1949.8.19.1_skull_ventral.tiff,Mesoplodon_hectori,NA,other
Monodon_monoceros_1937.10.30.2_skull_ventral.tiff,Monodon_monoceros,Female,other
Neophocaena_phocaenoides_1889.8.6.1_skull_ventral.tiff,Neophocaena_phocaenoides,Female,other
Neophocaena_phocaenoides_1902.6.10.65_skull_ventral.tiff,Neophocaena_phocaenoides,NA,other
Neophocaena_phocaenoides_1903.9.12.3_skull_ventral.tiff,Neophocaena_phocaenoides,NA,other
Stenella_clymene_1882.1.2.1_skull_ventral.tiff,Stenella_clymene,NA,other
Phocoenoides_dalli_1957.6.4.1_skull_ventral.tiff,Phocoenoides_dalli,Male,other
Phocoenoides_dalli_1965.1.19.2_skull_ventral.tiff,Phocoenoides_dalli,Male,other
Phocoena_phocoena_SW.1928-49_skull_ventral.tiff,Phocoena_phocoena,NA,other
Platanista_gangetica_1843.8.18.5_skull_ventral.tiff,Platanista_gangetica,NA,river
Platanista_gangetica_1874.6.1.1_skull_ventral.tiff,Platanista_gangetica,Female,river
Platanista_gangetica_1884.3.29.1_skull_ventral.tiff,Platanista_gangetica,NA,river
Platanista_gangetica_334.A_skull_ventral.tiff,Platanista_gangetica,NA,river
