image,specimenID,species,sex,river
Delphinapterus_leucus_1933.10.13.4_mandible_dorsal.tiff,NHMUK_1933.10.13.4,Delphinapterus_leucas,Male,other
Delphinus_delphis_1888.5.20.2_mandible_dorsal.tiff,NHMUK_1888.5.20.2,Delphinus_delphis,NA,other
Delphinus_delphis_1946.12.24.1_mandible_dorsal.tiff,NHMUK_1946.12.24.1,Delphinus_delphis,Male,other
Delphinus_delphis_1946.12.24.3_mandible_dorsal.tiff,NHMUK_1946.12.24.3,Delphinus_delphis,Female,other
Delphinus_delphis_1973.106_mandible_dorsal.tiff,NHMUK_1973.106,Delphinus_delphis,NA,other
Delphinus_delphis_1973.107_mandible_dorsal.tiff,NHMUK_1973.107,Delphinus_delphis,NA,other
Grampus_griseus_SW.1927.25_mandible_dorsal.tiff,NHMUK_SW.1927.25,Grampus_griseus,NA,other
Grampus_griseus_SW.1929.7_mandible_dorsal.tiff,NHMUK_SW.1929.7,Grampus_griseus,NA,other
Grampus_griseus_SW.1933.14_mandible_dorsal.tiff,NHMUK_SW.1933.14,Grampus_griseus,NA,other
Grampus_griseus_SW.1938.7_mandible_dorsal.tiff,NHMUK_SW.1938.7,Grampus_griseus,Male,other
Grampus_griseus_SW.1940.6_mandible_dorsal.tiff,NHMUK_SW.1940.6,Grampus_griseus,Male,other
Inia_geoffrensis_GERM 1169b_mandible_dorsal.tiff,NHMUK_GERM 1169b,Inia_geoffrensis,NA,river 
Inia_geoffrensis_1856.8.2.1_mandible_dorsal.tiff,NHMUK_1856.8.2.1,Inia_geoffrensis,NA,river 
Inia_geoffrensis_1937.5.26.1_mandible_dorsal.tiff,NHMUK_1937.5.26.1,Inia_geoffrensis,Male,river 
Inia_geoffrensis_1939.5.13.1_mandible_dorsal.tiff,NHMUK_1939.5.13.1,Inia_geoffrensis,NA,river 
Lagenorhynchus_acutus_1926.17_mandible_dorsal.tiff,NHMUK_1926.17,Lagenorhynchus_acutus,NA,other
Lagenorhynchus_acutus_SW.1929.25_mandible_dorsal.tiff,NHMUK_SW.1929.25,Lagenorhynchus_acutus,Male,other
Lagenorhynchus_acutus_1920.6.28.1_mandible_dorsal.tiff,NHMUK_1920.6.28.1,Lagenorhynchus_acutus,Male,other
Lagenorhynchus_australis_1944.11.30.1_mandible_dorsal.tiff,NHMUK_1944.11.30.1,Lagenorhynchus_australis,NA,other
Lagenorhynchus_australis_1961.6.12.1_mandible_dorsal.tiff,NHMUK_1961.6.12.1,Lagenorhynchus_australis,NA,other
Lagenorhynchus_obscurus_1944.11.16.1_mandible_dorsal.tiff,NHMUK_1944.11.16.1,Lagenorhynchus_obscurus,Female,other
Lagenorhynchus_obscurus_1944.11.16.2_mandible_dorsal.tiff,NHMUK_1944.11.16.2,Lagenorhynchus_obscurus,Female,other
Lagenorhynchus_obscurus_1949.5.30.1_mandible_dorsal.tiff,NHMUK_1949.5.30.1,Lagenorhynchus_obscurus,NA,other
Lipotes_vexillifer_1922.6.22.1_mandible_dorsal.tiff,NHMUK_1922.6.22.1,Lipotes_vexillifer,Female,river 
Mesoplodon_bidens_1908.2.28.1_mandible_dorsal.tiff,NHMUK_1908.2.28.1,Mesoplodon_bidens,Male,other
Mesoplodon_bidens_1920.12.20.1_mandible_dorsal.tiff,NHMUK_1920.12.20.1,Mesoplodon_bidens,Female,other
